x, z_0, z_1, z_2
0.000000, 0.000000, 0.000000, 0.815393
0.010000, 0.000041, 0.008136, 0.811893
0.020000, 0.000163, 0.016238, 0.808393
0.030000, 0.000365, 0.024304, 0.804892
0.040000, 0.000649, 0.032336, 0.801391
0.050000, 0.001012, 0.040332, 0.797889
0.060000, 0.001455, 0.048293, 0.794386
0.070000, 0.001978, 0.056220, 0.790882
0.080000, 0.002579, 0.064111, 0.787377
0.090000, 0.003260, 0.071967, 0.783870
0.100000, 0.004019, 0.079789, 0.780362
0.110000, 0.004855, 0.087575, 0.776852
0.120000, 0.005770, 0.095326, 0.773340
0.130000, 0.006762, 0.103041, 0.769826
0.140000, 0.007831, 0.110722, 0.766311
0.150000, 0.008976, 0.118368, 0.762792
0.160000, 0.010198, 0.125978, 0.759272
0.170000, 0.011496, 0.133553, 0.755748
0.180000, 0.012869, 0.141093, 0.752223
0.190000, 0.014317, 0.148597, 0.748694
0.200000, 0.015841, 0.156067, 0.745163
0.210000, 0.017439, 0.163501, 0.741628
0.220000, 0.019111, 0.170899, 0.738091
0.230000, 0.020856, 0.178263, 0.734551
0.240000, 0.022676, 0.185590, 0.731007
0.250000, 0.024568, 0.192883, 0.727460
0.260000, 0.026533, 0.200139, 0.723910
0.270000, 0.028571, 0.207361, 0.720357
0.280000, 0.030680, 0.214547, 0.716799
0.290000, 0.032862, 0.221697, 0.713239
0.300000, 0.035114, 0.228811, 0.709675
0.310000, 0.037438, 0.235890, 0.706107
0.320000, 0.039832, 0.242934, 0.702536
0.330000, 0.042296, 0.249941, 0.698960
0.340000, 0.044831, 0.256913, 0.695382
0.350000, 0.047434, 0.263849, 0.691799
0.360000, 0.050107, 0.270749, 0.688213
0.370000, 0.052849, 0.277613, 0.684622
0.380000, 0.055660, 0.284441, 0.681028
0.390000, 0.058538, 0.291233, 0.677431
0.400000, 0.061484, 0.297990, 0.673829
0.410000, 0.064498, 0.304710, 0.670224
0.420000, 0.067578, 0.311394, 0.666614
0.430000, 0.070725, 0.318042, 0.663001
0.440000, 0.073939, 0.324654, 0.659385
0.450000, 0.077218, 0.331230, 0.655764
0.460000, 0.080563, 0.337769, 0.652140
0.470000, 0.083974, 0.344273, 0.648512
0.480000, 0.087449, 0.350740, 0.644880
0.490000, 0.090988, 0.357170, 0.641245
0.500000, 0.094592, 0.363565, 0.637607
0.510000, 0.098259, 0.369922, 0.633964
0.520000, 0.101990, 0.376244, 0.630319
0.530000, 0.105784, 0.382529, 0.626669
0.540000, 0.109641, 0.388777, 0.623017
0.550000, 0.113560, 0.394989, 0.619361
0.560000, 0.117540, 0.401164, 0.615702
0.570000, 0.121583, 0.407303, 0.612040
0.580000, 0.125686, 0.413405, 0.608375
0.590000, 0.129851, 0.419471, 0.604708
0.600000, 0.134076, 0.425499, 0.601037
0.610000, 0.138361, 0.431491, 0.597363
0.620000, 0.142705, 0.437447, 0.593687
0.630000, 0.147109, 0.443365, 0.590008
0.640000, 0.151573, 0.449247, 0.586327
0.650000, 0.156094, 0.455092, 0.582644
0.660000, 0.160674, 0.460900, 0.578958
0.670000, 0.165312, 0.466671, 0.575270
0.680000, 0.170008, 0.472405, 0.571581
0.690000, 0.174760, 0.478102, 0.567889
0.700000, 0.179569, 0.483763, 0.564196
0.710000, 0.184435, 0.489386, 0.560501
0.720000, 0.189357, 0.494973, 0.556805
0.730000, 0.194335, 0.500522, 0.553107
0.740000, 0.199367, 0.506035, 0.549409
0.750000, 0.204455, 0.511511, 0.545709
0.760000, 0.209598, 0.516949, 0.542009
0.770000, 0.214794, 0.522351, 0.538308
0.780000, 0.220044, 0.527715, 0.534606
0.790000, 0.225348, 0.533043, 0.530905
0.800000, 0.230705, 0.538333, 0.527203
0.810000, 0.236115, 0.543587, 0.523501
0.820000, 0.241577, 0.548803, 0.519799
0.830000, 0.247091, 0.553983, 0.516098
0.839999, 0.252656, 0.559125, 0.512397
0.849999, 0.258273, 0.564231, 0.508697
0.859999, 0.263941, 0.569299, 0.504998
0.869999, 0.269659, 0.574331, 0.501300
0.879999, 0.275427, 0.579325, 0.497603
0.889999, 0.281245, 0.584283, 0.493908
0.899999, 0.287113, 0.589203, 0.490215
0.909999, 0.293029, 0.594087, 0.486523
0.919999, 0.298994, 0.598934, 0.482834
0.929999, 0.305008, 0.603744, 0.479147
0.939999, 0.311069, 0.608517, 0.475463
0.949999, 0.317178, 0.613253, 0.471781
0.959999, 0.323334, 0.617953, 0.468103
0.969999, 0.329537, 0.622615, 0.464427
0.979999, 0.335786, 0.627241, 0.460755
